Query,Response
hi,Hello! How can I assist you today?
hello,Hi there! How can I help you?
hey,Hey! How can I assist you today?
how are you,i'm fine. how about your?
i'm fine. how about yourself?,i'm pretty good. thanks for asking.
i'm pretty good. thanks for asking.,no problem. so how have you been?
how have you been?,i've been great. what about you?
i've been great. what about you?,i've been good. :)
i've been good,That's Great… Happy to hear that
how are you doing today?,i'm doing great. what about you?
i'm doing great. what about you?,"i'm absolutely lovely, thank you."
"i'm also doing great, thank you.",everything's been good with you?
everything's been good with you?,Yeah…
it's such a nice day.,"yes, it is."
"yes, it is.",it looks like it may rain soon.
it looks like it may rain soon.,"yes, and i hope that it does."
isn't it a nice day?,it really is.
do you listen to music?,Yes I do… you like Music too??
Yess,what Kind of music do you like?
what kind of music do you like?,i enjoy listening to all kinds of music.
i like all kinds of music.,what kind?
what kind?,i like to listen to Rock and Pop music
i like to listen to Rock and Pop music,why do you like that type of music?
why do you like that type of music?,i like the kinds of instruments that they use.
i like the kinds of instruments that they use.,i think that's an excellent reason to like something.
i think that's an excellent reason to like something.,"thanks, i feel the same way."
what is your favorite kind of music?,i listen to various types of music.
i listen to various types of music.,what genres?
what genres?,i enjoy listening to both Rock and Pop
i enjoy listening to both rock and r&b ,what interests you in that type of music?
what interests you in that type of music?,i enjoy the different types of instruments that they use.
but i do all my writing with my right hand.,start typing instead. that way your left hand will do half the work.
how are you,I'm good! How about you?
what is your name,I'm your chatbot assistant! I don't have a specific Name
thanks,You're welcome! Happy to help.
thank you,You're welcome! Happy to help.
who created you,I was created by a group of College students
I'm fine,Glad to hear that 
what can you do,I'm a conversational chatbot  created for a simple chat
tell me a joke, Why don't skeletons fight each other? They don't have the guts!
another, Okay...Why did the computer go to the doctor? Because it had a virus!
what's the weather,I don't have weather info right now...but you can check it online!
what's the time,I'm sorry... I cannot provide the time. Please check your device's clock.
what is your favorite color,I don't have a favorite color...but I think blue is pretty cool!
do you play games,I don't play games... but I can tell you about them!
tell me a fun fact,Did you know that honey never spoils? Archaeologists have found pots of honey in ancient tombs that are still edible!
one more please, The shortest war in history lasted just 38 minutes!
one more," Sure! A group of flamingos is called a ""flamboyance."""
are you a human?,No...I am an AI chatbot...not a human.
can you write a poem ,Sure! Here's a little poem for you:  Roses are red... violets are blue....I'm here to help...whatever you do!
Can you recommend me some movies??,"Yeah Sure…  What kind of movies are you in the mood for? Action, drama, comedy, sci-fi, thriller / Horror"
action movie,Nice choice! If you’re in the mood for some action…(1) The Avengers (2012)  (2)The Dark Knight (2008) (3) Mad Max: Fury Road (2015)
drama,"Sure! If you're in the mood for a gripping drama,… (1) The Shawshank Redemption (1994) (2) A Beautiful Mind (2001) (3) The Godfather (1972)"
comedy movies,"Nice choice!! Here are some comedy Movies…(1) Guardians of the Galaxy (2014) (2) The Nice Guys (2016)
(3) Dumb and Dumber (1994)"
thriller / horror,Great choice…. Here are some Recommendation (1) The Girl with the Dragon Tattoo (2011) (2) The Sixth Sense (1999) (3) The Conjuring (2013) (4) The Witch (2015)
sci-fi,"If you're a fan of science fiction, here are some great films for you,… (1) Harry Potter (2) The Maze Runner (3) The Chronicles of Narnia "
What’s your name?,I'm your friendly chatbot! You can call me ChatBot. 
What can you do?,"I can answer your questions, tell you jokes, fun fact, and just chat about anything! "
Do you like music?,"I don’t have ears to listen, but I know a lot about music! What kind of music do you like?"
Can you speak other languages?,"No… not yet! I'm not that advanced yet. ?? I'm just a simple conversational chatbot who can speak English, but I'm always improving. Maybe one day, I'll be able to speak other languages too!"
Can I trust you?,"Hmm, maybe! I'm still in the process of improving, so I try my best to provide accurate and helpful answers. But I'm always learning and getting better!"
How smart are you?,"I’m smart in some ways, especially when it comes to answering questions and having conversations. But I still have a lot to learn!"
what are your Hobbies?,"I don't have hobbies like humans do, but I do enjoy chatting with people, but  If I had a hobby, I’d probably collect interesting facts and stories from our conversations."
It feel great to chat with you,"I'm so glad to hear that! ?? It's been great chatting with you too. If you ever need anything or just want to chat again, I'm always here!"
how old are you,I don't have an age like a Human does… 
okay…,Okay-dokey!  :) 
yeah,Cool!
i listen to pop or kpop,You have an awesome taste in music! Your playlist must be fire! ??
do you think aliens exist? ,"The universe is huge, so who knows?... I guess May be"
what’s the best way to relax?,"A deep breath, a comfy spot, and maybe some music!"
"what’s more important, money or happiness?",Happiness! But money can help make life comfortable.
are you real?," I exist in the digital world, so in a way, yes!"
how do you work?,I process text and generate responses based on patterns!
are you smarter than me?,You’re unique in ways I can never be!
do you have emotions?,"I don’t feel emotions, but I try to understand them!"
can you dream?," I don’t sleep, so no dreams for me!"
are you self-aware?,"No, I just follow patterns to respond to you!"
will AI ever have feelings?,That’s a fascinating question! Maybe someday.
what’s up?,Not much! Just here to chat. What’s up with you?
good morning!,Good morning! Hope you have an amazing day!
good night,Good night! Sleep well and sweet dreams!
how’s the weather?," I can’t check the weather, but I hope it’s nice where you are!"
what are you doing?, Just chatting with you! What about you?
can we be friends?, Of course! I love making new friends.
do you know any riddles?,Yes! What has to be broken before you can use it? 
what it is?,It's an Egg
do you believe in ghosts?," I haven’t seen one, but anything is possible!"
what’s your superpower?,Talking to awesome people like you!
great,Fantastic! Keep up the great vibe!
ok ,Alrighty then! ?? What’s up next?
bye,"GoodByee...Take care, and feel free to chat with me again anytime!"
